X=1;#1_RESERVE ZZSEQ FAULT
X=514;#514_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=519;#519_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=482;#482_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=499;#499_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=522;#522_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=526;#526_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=492;#492_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=497;#497_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=490;#490_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=536;#536_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=467;#467_R PS AR ROBOT OK
X=530;#530_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=520;#520_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=511;#511_RESERVE ZZSEQ FAULT
X=543;#543_RESERVE ZZSEQ FAULT
X=481;#481_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=484;#484_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=546;#546_THE M MODULESTATUS FAULT ETHERNET MODULE SAFETY
X=542;#542_RESERVE ZZSEQ FAULT
X=524;#524_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=502;#502_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=493;#493_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=489;#489_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=510;#510_RESERVE ZZSEQ FAULT
X=540;#540_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=504;#504_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=533;#533_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=544;#544_THE M MODULESTATUS FAULT ETHERNET MODULE SAFETY
X=507;#507_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=559;#559_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=495;#495_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=512;#512_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=563;#563_RESERVE ZZSEQ FAULT
X=539;#539_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=531;#531_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=549;#549_THE M MODULESTATUS ETHERNET FAIL OPERATIONAL SAFETY
X=557;#557_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=528;#528_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=491;#491_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=547;#547_THE M MODULESTATUS ETHERNET FAIL OPERATIONAL SAFETY
X=513;#513_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=538;#538_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=556;#556_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=518;#518_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=537;#537_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=515;#515_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=548;#548_THE M MODULESTATUS ETHERNET FAIL OPERATIONAL SAFETY
X=570;#570_RESERVE ZZSEQ FAULT
X=523;#523_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=508;#508_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=579;#579_RESERVE ZZSEQ FAULT
X=564;#564_THE M MODULESTATUS FAULT ETHERNET MODULE SAFETY
X=562;#562_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=521;#521_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=590;#590_RESERVE ZZSEQ FAULT
X=529;#529_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=572;#572_THE M MODULESTATUS FAULT ETHERNET TOOLTRAY SAFETY
X=555;#555_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=558;#558_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=503;#503_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=584;#584_RESERVE ZZSEQ FAULT
X=532;#532_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=534;#534_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=535;#535_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=506;#506_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=476;#476_RESERVE ZZSEQ FAULT
X=553;#553_THE M MODULESTATUS SAFETY FAULT ETHERNET CMU
X=569;#569_THE M MODULESTATUS FAULT ETHERNET TOOLTRAY SAFETY
X=527;#527_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=595;#595_RESERVE ZZSEQ FAULT
X=585;#585_RESERVE ZZSEQ FAULT
X=551;#551_THE M MODULESTATUS SAFETY FAULT ETHERNET CMU
X=550;#550_THE M MODULESTATUS ETHERNET FAIL OPERATIONAL SAFETY
X=459;#459_RESERVE ZZSEQ FAULT
X=581;#581_RESERVE ZZSEQ FAULT
X=600;#600_RESERVE ZZSEQ FAULT
X=598;#598_RESERVE ZZSEQ FAULT
X=573;#573_THE M MODULESTATUS FAULT ETHERNET TOOLTRAY SAFETY
X=567;#567_THE M MODULESTATUS FAULT ETHERNET TOOLTRAY SAFETY
X=560;#560_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=597;#597_RESERVE ZZSEQ FAULT
X=525;#525_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=586;#586_RESERVE ZZSEQ FAULT
X=435;#435_R VM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=583;#583_RESERVE ZZSEQ FAULT
X=568;#568_THE M MODULESTATUS FAULT ETHERNET TOOLTRAY SAFETY
X=545;#545_THE M MODULESTATUS FAULT ETHERNET MODULE SAFETY
X=576;#576_RAMS MODULSTATUS FAULT ETHERNET RING SAFETY SWITCH
X=599;#599_RESERVE ZZSEQ FAULT
X=575;#575_RESERVE ZZSEQ FAULT
X=591;#591_RESERVE ZZSEQ FAULT
X=604;#604_RESERVE ZZSEQ FAULT
X=578;#578_RAMS MODULSTATUS FAULT ETHERNET RING SAFETY SWITCH
X=605;#605_RESERVE ZZSEQ FAULT
X=603;#603_RESERVE ZZSEQ FAULT
X=602;#602_RESERVE ZZSEQ FAULT
X=509;#509_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=601;#601_RESERVE ZZSEQ FAULT
X=589;#589_RESERVE ZZSEQ FAULT
X=554;#554_THE M MODULESTATUS SAFETY FAULT ETHERNET CMU
X=517;#517_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=588;#588_RESERVE ZZSEQ FAULT
X=592;#592_RESERVE ZZSEQ FAULT
X=561;#561_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=587;#587_RESERVE ZZSEQ FAULT
X=596;#596_RESERVE ZZSEQ FAULT
X=606;#606_RESERVE ZZSEQ FAULT
X=565;#565_THE M MODULESTATUS FAULT ETHERNET CONVEYOR SAFETY
X=541;#541_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=607;#607_RESERVE ZZSEQ FAULT
X=577;#577_RAMS MODULSTATUS FAULT ETHERNET RING SAFETY SWITCH
X=566;#566_THE M MODULESTATUS FAULT ETHERNET CONVEYOR SAFETY
X=552;#552_THE M MODULESTATUS SAFETY FAULT ETHERNET CMU
X=498;#498_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=582;#582_RESERVE ZZSEQ FAULT
X=580;#580_RESERVE ZZSEQ FAULT
X=571;#571_THE M MODULESTATUS FAULT ETHERNET TOOLTRAY SAFETY
X=594;#594_RESERVE ZZSEQ FAULT
X=593;#593_RESERVE ZZSEQ FAULT
X=609;#609_RESERVE ZZSEQ FAULT
X=619;#619_THE F BREAKER OK
X=612;#612_Q BREAKER PROTECTION BRAKE MORTOR OK


































































































X=622;#622_Q BREAKER PROTECTION BRAKE MORTOR OK
X=617;#617_X FCS TOOL TRAY PIN LOCK OK

X=611;#611_THE A BREAKER PROTECTION MORTOR OK
X=618;#618_X RLS TOOL TRAY PIN STORED
X=608;#608_THE S F TEMPERATURE OK
X=623;#623_THE KQ FT PROGRAMMABLE DEVICE FULGA EARTH NOK
X=613;#613_THE KQ FT PROGRAMMABLE DEVICE FULGA EARTH NOK
X=620;#620_Q BREAKER PROTECTION CABINET OK
X=614;#614_Q PB FULGA EARTH SHUNT TRIP
X=615;#615_THE SE TOOL TRAY MOTOR HIGH TEMPERATURE
X=621;#621_THE A BREAKER PROTECTION MORTOR OK
X=610;#610_Q BREAKER PROTECTION CABINET OK

X=616;#616_THE DYNAMICBRAKEOK BRAKE TEMPERATURE OK
X=630;#630_RESERVE ZZSEQ FAULT
X=639;#639_RESERVE ZZSEQ FAULT
X=642;#642_RESERVE ZZSEQ FAULT
X=629;#629_RESERVE ZZSEQ FAULT


























































































































































=628;#628_X RLS TOOL TRAY PIN STORED



















































































































































X=633;#633_RESERVE ZZSEQ FAULT

































X=648;#648_RESERVE ZZSEQ FAULT
















































X=649;#649_RESERVE ZZSEQ FAULT















































































X=667;#667_RESERVE ZZSEQ FAULT




X=624;#624_Q PB FULGA EARTH SHUNT TRIP

X=643;#643_RESERVE ZZSEQ FAULT



































X=645;#645_RESERVE ZZSEQ FAULT







































































X=644;#644_RESERVE ZZSEQ FAULT






































































X=641;#641_XU ADVANCEOT TRAY TOOL FIXTURE AT WORK POSITION





















































X=634;#634_RESERVE ZZSEQ FAULT











































X=663;#663_RESERVE ZZSEQ FAULT









































X=638;#638_RESERVE ZZSEQ FAULT



































































































X=656;#656_RESERVE ZZSEQ FAULT









































































X=666;#666_RESERVE ZZSEQ FAULT


































X=672;#672_RESERVE ZZSEQ FAULT

































































X=657;#657_RESERVE ZZSEQ FAULT





X=659;#659_RESERVE ZZSEQ FAULT




































X=658;#658_RESERVE ZZSEQ FAULT


















X=654;#654_RESERVE ZZSEQ FAULT















































X=631;#631_RESERVE ZZSEQ FAULT



















X=635;#635_RESERVE ZZSEQ FAULT




































X=699;#699_RESERVE ZZSEQ FAULT
X=671;#671_ZZSEQ NOMODE NO WAY
X=681;#681_RESERVE ZZSEQ FAULT
X=627;#627_X FCS TOOL TRAY PIN LOCK OK
X=668;#668_RESERVE ZZSEQ FAULT
X=690;#690_RESERVE ZZSEQ FAULT
X=701;#701_RESERVE ZZSEQ FAULT
X=693;#693_RESERVE ZZSEQ FAULT
X=674;#674_RESERVE ZZSEQ FAULT
X=679;#679_RESERVE ZZSEQ FAULT
X=692;#692_RESERVE ZZSEQ FAULT
X=707;#707_RESERVE ZZSEQ FAULT
X=731;#731_RESERVE ZZSEQ FAULT
X=694;#694_RESERVE ZZSEQ FAULT
X=723;#723_RESERVE ZZSEQ FAULT
X=742;#742_RESERVE ZZSEQ FAULT
X=696;#696_RESERVE ZZSEQ FAULT
X=738;#738_RESERVE ZZSEQ FAULT
X=734;#734_RESERVE ZZSEQ FAULT
X=752;#752_RESERVE ZZSEQ FAULT
X=715;#715_RESERVE ZZSEQ FAULT
X=753;#753_RESERVE ZZSEQ FAULT
X=749;#749_RESERVE ZZSEQ FAULT
X=766;#766_RESERVE ZZSEQ FAULT
X=769;#769_RESERVE ZZSEQ FAULT
X=771;#771_RESERVE ZZSEQ FAULT
X=770;#770_RESERVE ZZSEQ FAULT
X=759;#759_RESERVE ZZSEQ FAULT
X=767;#767_RESERVE ZZSEQ FAULT




















































































































































































































































































































































































































































































































































































































































































































































































































































































X=778;#778_RESERVE ZZSEQ FAULT
X=816;#816_RESERVE ZZSEQ FAULT
X=786;#786_RESERVE ZZSEQ FAULT
X=787;#787_RESERVE ZZSEQ FAULT
X=807;#807_RESERVE ZZSEQ FAULT
X=796;#796_RESERVE ZZSEQ FAULT
X=817;#817_RESERVE ZZSEQ FAULT
X=805;#805_RESERVE ZZSEQ FAULT
X=818;#818_RESERVE ZZSEQ FAULT
X=788;#788_RESERVE ZZSEQ FAULT
X=824;#824_RESERVE ZZSEQ FAULT
X=798;#798_RESERVE ZZSEQ FAULT
X=821;#821_RESERVE ZZSEQ FAULT
X=803;#803_RESERVE ZZSEQ FAULT
X=828;#828_RESERVE ZZSEQ FAULT
X=812;#812_RESERVE ZZSEQ FAULT
X=795;#795_RESERVE ZZSEQ FAULT
X=776;#776_RESERVE ZZSEQ FAULT
X=820;#820_RESERVE ZZSEQ FAULT
X=808;#808_RESERVE ZZSEQ FAULT
X=783;#783_RESERVE ZZSEQ FAULT
X=780;#780_RESERVE ZZSEQ FAULT
X=836;#836_RESERVE ZZSEQ FAULT
X=848;#848_RESERVE ZZSEQ FAULT
X=801;#801_RESERVE ZZSEQ FAULT
X=889;#889_RESERVE ZZSEQ FAULT
X=979;#979_RESERVE ZZSEQ FAULT
X=912;#912_RESERVE ZZSEQ FAULT
X=945;#945_RESERVE ZZSEQ FAULT
X=949;#949_RESERVE ZZSEQ FAULT
X=955;#955_RESERVE ZZSEQ FAULT
X=703;#703_RESERVE ZZSEQ FAULT
X=995;#995_RESERVE ZZSEQ FAULT
X=994;#994_RESERVE ZZSEQ FAULT
X=991;#991_RESERVE ZZSEQ FAULT
X=953;#953_RESERVE ZZSEQ FAULT
X=954;#954_RESERVE ZZSEQ FAULT
X=996;#996_RESERVE ZZSEQ FAULT
X=1001;#1001_RESERVE ZZSEQ FAULT
X=1027;#1027_RESERVE ZZSEQ FAULT
X=1016;#1016_RESERVE ZZSEQ FAULT
X=1039;#1039_RESERVE ZZSEQ FAULT
X=1015;#1015_RESERVE ZZSEQ FAULT
X=1056;#1056_RESERVE ZZSEQ FAULT
X=698;#698_RESERVE ZZSEQ FAULT
X=651;#651_RESERVE ZZSEQ FAULT
X=1021;#1021_RESERVE ZZSEQ FAULT
X=1053;#1053_RESERVE ZZSEQ FAULT
X=689;#689_RESERVE ZZSEQ FAULT
X=632;#632_RESERVE ZZSEQ FAULT
X=743;#743_RESERVE ZZSEQ FAULT
X=655;#655_RESERVE ZZSEQ FAULT
X=750;#750_RESERVE ZZSEQ FAULT
X=685;#685_RESERVE ZZSEQ FAULT
X=714;#714_RESERVE ZZSEQ FAULT
X=736;#736_RESERVE ZZSEQ FAULT
X=756;#756_RESERVE ZZSEQ FAULT
X=741;#741_RESERVE ZZSEQ FAULT
X=647;#647_RESERVE ZZSEQ FAULT
X=724;#724_RESERVE ZZSEQ FAULT
X=716;#716_RESERVE ZZSEQ FAULT
X=1070;#1070_RESERVE ZZSEQ FAULT
X=1069;#1069_RESERVE ZZSEQ FAULT
X=1079;#1079_RESERVE ZZSEQ FAULT
X=1111;#1111_RESERVE ZZSEQ FAULT
X=1122;#1122_RESERVE ZZSEQ FAULT
X=1113;#1113_RESERVE ZZSEQ FAULT
X=1091;#1091_RESERVE ZZSEQ FAULT
X=1121;#1121_RESERVE ZZSEQ FAULT
X=1128;#1128_RESERVE ZZSEQ FAULT
X=1125;#1125_RESERVE ZZSEQ FAULT
X=1090;#1090_RESERVE ZZSEQ FAULT
X=1092;#1092_RESERVE ZZSEQ FAULT
X=1119;#1119_RESERVE ZZSEQ FAULT
X=1158;#1158_RESERVE ZZSEQ FAULT
X=1149;#1149_RESERVE ZZSEQ FAULT
X=1145;#1145_RESERVE ZZSEQ FAULT
X=761;#761_RESERVE ZZSEQ FAULT
X=1151;#1151_RESERVE ZZSEQ FAULT
X=636;#636_RESERVE ZZSEQ FAULT
X=1163;#1163_RESERVE ZZSEQ FAULT
X=717;#717_RESERVE ZZSEQ FAULT
X=1127;#1127_RESERVE ZZSEQ FAULT
X=722;#722_RESERVE ZZSEQ FAULT
X=739;#739_RESERVE ZZSEQ FAULT
T
X=637;#637_RESERVE ZZSEQ FAULT
X=445;#445_RESERVE ZZSEQ FAULT
X=686;#686_RESERVE ZZSEQ FAULT
X=677;#677_RESERVE ZZSEQ FAULT
X=721;#721_RESERVE ZZSEQ FAULT
X=727;#727_RESERVE ZZSEQ FAULT
X=737;#737_RESERVE ZZSEQ FAULT
X=916;#916_RESERVE ZZSEQ FAULT
X=901;#901_RESERVE ZZSEQ FAULT
X=920;#920_RESERVE ZZSEQ FAULT
X=728;#728_RESERVE ZZSEQ FAULT
X=823;#823_RESERVE ZZSEQ FAULT
X=952;#952_RESERVE ZZSEQ FAULT
X=1017;#1017_RESERVE ZZSEQ FAULT
X=1040;#1040_RESERVE ZZSEQ FAULT
X=1055;#1055_RESERVE ZZSEQ FAULT
X=777;#777_RESERVE ZZSEQ FAULT
X=779;#779_RESERVE ZZSEQ FAULT
X=864;#864_RESERVE ZZSEQ FAULT
X=7543;#7543_RESERVE ZZSEQ FAULT
X=1258;#1258_RESERVE ZZSEQ FAULT
X=1274;#1274_RESERVE ZZSEQ FAULT
X=3160;#3160_RESERVE ZZSEQ FAULT
X=1007;#1007_RESERVE ZZSEQ FAULT
X=1144;#1144_RESERVE ZZSEQ FAULT
X=3351;#3351_CHECKING OUT AREA ST ROBOTTS
X=1408;#1408_RESERVE ZZSEQ FAULT
X=2751;#2751_RESERVE ZZSEQ FAULT
X=877;#877_RESERVE ZZSEQ FAULT
X=2749;#2749_W KSR R RVZ SEMKSR
X=1752;#1752_RESERVE ZZSEQ FAULT
X=1766;#1766_RESERVE ZZSEQ FAULT
X=2900;#2900_R RVZ WITHOUT WELDING
X=3395;#3395_SPARE
X=1891;#1891_CONFIRMS R DESELECTION
X=1263;#1263_RESERVE ZZSEQ FAULT
X=1609;#1609_RESERVE ZZSEQ FAULT
X=911;#911_RESERVE ZZSEQ FAULT
X=2752;#2752_R RVZ CONTACTOR OK
X=925;#925_RESERVE ZZSEQ FAULT
X=1154;#1154_RESERVE ZZSEQ FAULT
X=1348;#1348_RESERVE ZZSEQ FAULT
X=712;#712_RESERVE ZZSEQ FAULT
X=1133;#1133_RESERVE ZZSEQ FAULT
X=978;#978_RESERVE ZZSEQ FAULT
X=3335;#3335_ENABLE AREA
X=8169;#8169_RESERVE ZZSEQ FAULT
X=2880;#2880_W TRQ R RVZ MILL REQUIRED
X=1237;#1237_RESERVE ZZSEQ FAULT
X=1005;#1005_RESERVE ZZSEQ FAULT
X=7254;#7254_SFTY RUNMODE PLC PLC IN RUN IN
X=1991;#1991_R R RUN PROGRAM RUNNING
X=2920;#2920_G S R RVZ CALIPER FAILURE OF SPEED OF FRES


X=2056;#2056_R END MILL MANUAL
X=1358;#1358_RESERVE ZZSEQ FAULT
X=7184;#7184_RESERVE ZZSEQ FAULT

X=2981;#2981_RESERVE ZZSEQ FAULT
X=1081;#1081_RESERVE ZZSEQ FAULT
X=1136;#1136_RESERVE ZZSEQ FAULT
X=2252;#2252_R R AREL AREA RELEASED
X=1072;#1072_RESERVE ZZSEQ FAULT

X=3382;#3382_SPARE
X=1020;#1020_RESERVE ZZSEQ FAULT
X=670;#670_ZZSEQ SAFETYKEY KEY ACTIVE SAFETY
X=1617;#1617_RESERVE ZZSEQ FAULT
X=1143;#1143_RESERVE ZZSEQ FAULT
X=8039;#8039_RESERVE ZZSEQ FAULT
X=650;#650_RESERVE ZZSEQ FAULT
X=1701;#1701_RESERVE ZZSEQ FAULT
X=1215;#1215_RESERVE ZZSEQ FAULT
X=1355;#1355_RESERVE ZZSEQ FAULT
X=7688;#7688_RESERVE ZZSEQ FAULT
X=1279;#1279_RESERVE ZZSEQ FAULT
X=1214;#1214_RESERVE ZZSEQ FAULT
X=1754;#1754_RESERVE ZZSEQ FAULT
X=866;#866_RESERVE ZZSEQ FAULT
X=3338;#3338_SPARE
X=2008;#2008_R R HOMEP HOME POSITION
X=1265;#1265_RESERVE ZZSEQ FAULT
X=5153;#5153_FAULT
X=5157;#5157_FAULT
X=1412;#1412_RESERVE ZZSEQ FAULT

X=1304;#1304_RESERVE ZZSEQ FAULT
X=3182;#3182_RESERVE ZZSEQ FAULT


X=1550;#1550_RESERVE ZZSEQ FAULT
X=2575;#2575_R R JRDY WORK READY
X=870;#870_RESERVE ZZSEQ FAULT
X=1132;#1132_RESERVE ZZSEQ FAULT
X=2555;#2555_R R JRDY WORK READY
X=1430;#1430_RESERVE ZZSEQ FAULT
X=2681;#2681_R R AUTO AUTOMATIC

X=709;#709_RESERVE ZZSEQ FAULT
X=3092;#3092_RESERVE ZZSEQ FAULT
X=8512;#8512_RESERVE ZZSEQ FAULT
X=1305;#1305_RESERVE ZZSEQ FAULT
X=1428;#1428_RESERVE ZZSEQ FAULT
X=1210;#1210_RESERVE ZZSEQ FAULT
X=8049;#8049_RESERVE ZZSEQ FAULT
X=1067;#1067_RESERVE ZZSEQ FAULT
X=1730;#1730_RESERVE ZZSEQ FAULT
X=8054;#8054_RESERVE ZZSEQ FAULT
X=1402;#1402_RESERVE ZZSEQ FAULT

X=3179;#3179_RESERVE ZZSEQ FAULT
X=3325;#3325_SPARE
X=3143;#3143_RESERVE ZZSEQ FAULT
X=1057;#1057_RESERVE ZZSEQ FAULT
X=1519;#1519_RESERVE ZZSEQ FAULT
X=8117;#8117_RESERVE ZZSEQ FAULT
X=1603;#1603_RESERVE ZZSEQ FAULT
X=2072;#2072_RESERVE ZZSEQ FAULT
X=8778;#8778_RESERVE ZZSEQ FAULT
X=2989;#2989_RESERVE ZZSEQ FAULT
X=8208;#8208_RESERVE ZZSEQ FAULT
X=1705;#1705_RESERVE ZZSEQ FAULT
X=1248;#1248_RESERVE ZZSEQ FAULT
X=989;#989_RESERVE ZZSEQ FAULT
X=8219;#8219_RESERVE ZZSEQ FAULT
X=729;#729_RESERVE ZZSEQ FAULT
X=4283;#4283_MODEL
X=1753;#1753_RESERVE ZZSEQ FAULT
X=1968;#1968_R R DCP DCP FAULT
X=826;#826_RESERVE ZZSEQ FAULT

X=1489;#1489_RESERVE ZZSEQ FAULT
X=921;#921_RESERVE ZZSEQ FAULT
X=2098;#2098_RESERVE ZZSEQ FAULT

X=2986;#2986_RESERVE ZZSEQ FAULT
X=1390;#1390_RESERVE ZZSEQ FAULT
X=8253;#8253_RESERVE ZZSEQ FAULT
X=8300;#8300_ZZSEQ INPOS AGUARD CLIP B GROUP CLOSED
X=8847;#8847_RESERVE ZZSEQ FAULT
X=5149;#5149_FAULT
X=8383;#8383_RESERVE ZZSEQ FAULT
X=8805;#8805_RESERVE ZZSEQ FAULT
X=8811;#8811_RESERVE ZZSEQ FAULT
X=676;#676_RESERVE ZZSEQ FAULT
X=1048;#1048_RESERVE ZZSEQ FAULT
X=1583;#1583_RESERVE ZZSEQ FAULT
X=1031;#1031_RESERVE ZZSEQ FAULT
X=3329;#3329_SPARE
X=1236;#1236_RESERVE ZZSEQ FAULT
X=8784;#8784_RESERVE ZZSEQ FAULT

X=5156;#5156_FAULT
X=8738;#8738_RESERVE ZZSEQ FAULT
X=2026;#2026_PREQ R R PROGRAM NUMBER REQUIRED
X=1260;#1260_RESERVE ZZSEQ FAULT

X=1268;#1268_RESERVE ZZSEQ FAULT
X=1206;#1206_RESERVE ZZSEQ FAULT
X=3131;#3131_RESERVE ZZSEQ FAULT
X=814;#814_RESERVE ZZSEQ FAULT
